Processing file,Reading requirements file execution time,Parsing requirements execution time,Fetching versions and dependencies execution time,Fetching transitive dependencies execution time,Processing folder error,Generating SMT expression execution time,Proof for UNSAT execution time,Solving SMT expression execution time,Generating requirements.txt execution time,Total (s)
00056d4304c58a035c87cdf5ff1e5e3e,0.031841993,0,0,0,,,,,,0.031841993
000eccf3d66540d75def,0,0,0,0,,,,,,0
00135b0dfee0ae165ad2,0.006222248,0,0,0.024427414,,2.156429291,,0.283691406,0.000812054,2.471582413
005bbad123ef309a5bef,0,0,0,0,,0.015677452,,0.016062975,0,0.031740427
005ceac0483fc5a581cc,0.020972252,0,0.001312256,0.005048752,,0.39080596,,0.046765566,0.015635967,0.480540752
00a17b1d374dfc267a9a,0,0,0,0.103509188,b'there is no current proof',4.294146538,,,,4.397655725
00a4835bf36513ca58a3,0,0,0,0,,,,,,0
00e9638c0efad1adac878522cf172484,0.01658392,0,0.00096035,0.018568516,,0.680749178,0.872748613,,,1.589610577
011004bcac763eaf6f28,0,0,0,0,,,,,,0
0115e0ce312f26ff59f4fbf4f5821ca2,0,0,0,0,,,,,,0
015e2ce27cecdea63564,0.002546787,0,0,0,,0,,0.015674591,0.001044989,0.019266367
01886b6f79ba0c4dce66,0.089262724,0,0.000995874,0,,0.026110888,,0.002110004,0,0.11847949
0191e14717af68bbba81,0.09977293,0,0,0,,0,,0,0,0.09977293
019fd5c706e0bc94879f,0.050774336,0,0,0.006022215,,0.641480684,,0.048344135,0,0.74662137
01b8b8e1909ae0f601c85e142f2bd15b,0.00082016,0,0,0,,,,,,0.00082016
01bf3900d3a02c4e3927b2a2bcf39100,0.015048504,0,0,0,,,,,,0.015048504
01c99322cf985e771827,0.006009579,0,0,0,,,,,,0.006009579
026a4d6400b1efac9a13a3296f16e655,0.005047083,0,0.000999212,0.021794796,,0.65027833,,0.047317982,0.015631199,0.741068602
02ff378b3a91de94306a84d3aa2228bb,0.007726669,0,0,0,,,,,,0.007726669
0306734dfe17076dfd34e09660c198c0,0.012456656,0,0.001460791,0.034920216,,1.671842575,,0.109974861,0,1.830655098
034e799c19eb763fa859,0.001051664,0.000950575,0.001012564,0,,0.020491362,,0.003628016,0,0.02713418
035dc3b722b7f89cce66520dde285c9a,0.016589165,0,0,0,,,,,,0.016589165
037e4134d8271c0de71b838a461e7ac1,0.025259972,0,0.00664115,0,,0.016440153,,0,0,0.048341274
03d9c46c86691c9bb680,0.016462803,0,0,0,,0.016819239,,0.016569614,0,0.049851656
03de5c4c21138da5c29d,0.003558636,0,0,0.004072666,,0.589370728,,0.046845436,0.00101614,0.644863605
044682e76def583a12e6c09209c664a1,0.001860142,0,0,0,,0.00681138,,0.001069307,0,0.009740829
045c887b6ccdf0edf4648da0c40bcc12,0.018424749,0,0,0,,0.028918743,,0.017257929,0,0.064601421
046e434c51057dc9588762edd40199b1,0,0,0,0,,,,,,0
04c2b5ce5978c0d66e6e,0.033471346,0,0,0,,0.011757374,,0.002695799,0.001013994,0.048938513
04ef258fa29e4e685287a30cf60462d0,0.008274317,0,0,0,,,,,,0.008274317
04f3047ca8770f4a3a58,0.007915497,0,0,0.006437302,,0.629301548,,0.048079014,0,0.69173336
051e881fc94fe4a49295,0.049191713,0,0,0,,0,,0.002916336,0.001228094,0.053336143
053b89bd6975f89f043871335dce8c5b,0.005964041,0,0,0,,0.01389575,,0.012504578,0.000997782,0.03336215
053db410f7fdd4e1d6034a0a7fd45d9b,0.012244701,0,0,0,,0.013258219,,0.002085447,0,0.027588367
054023c4fca5369ffdb2,0.015289068,0,0,0,,0.008945227,,0.000871181,0.012021065,0.037126541
056626de3fbdc7cf7b59de1d9f6279d1,0.130899429,0,0,0,,0.022558212,,0,0.004123211,0.157580853
05aadb969e43788593d3,0,0,0,0,,,,,,0
05bec6966701f720c3aa,0.014720678,0,0,0,,0.062381268,,0,0,0.077101946
05ff99985269200cdc4854ddc04fa6e9,0.005990744,0,0,0.022528172,,1.00799942,,0.266394615,0,1.302912951
0618f44dc5270f9a2be2826d0d933ed7,0,0,0.002007008,0,,0.019587517,,0.016736984,0,0.038331509
06336eb10a1628850d6f,0.050077438,0,0,0,,0.654511452,,0.047274113,0,0.751863003
06649145d7e6c4c147c02459fd2bc5af,0.018386364,0,0,0,,0.003178596,,0.008700609,0.000914097,0.031179667
070c805d947bd17c7a19,0.035822392,0,0,0,,,,,,0.035822392
071932322204bcad6063,0.018359423,0,0,0,,,,,,0.018359423
075c35b536cc08b832e353f2f43c0bdc,0,0,0,0,,,,,,0
076424abd8b012371b516da32807ca14,0.011032581,0,0,0.000993729,,0.033004045,,0.020953178,0.001045465,0.067028999
076bbc6a0d5056d20ad45095b434b02d,0.035510302,0,0,0,,,,,,0.035510302
07cdfc2826a565b50a68,0.002032757,0,0,0,,0.010446072,,0.001999855,0.001009703,0.015488386
0830affa1f7f19fd47b06d4cf89ed44d,0.008160353,0,0,0.008622885,,0.380288124,,0.015659094,0.00215292,0.414883375
083777cb1f8c9efe6418c75d18bdd32b,0.00024271,0,0,0,,0.012920856,,0.003016233,0,0.0161798
0932b2b5293839cd7d79fa6b513c8128,0.006278038,0,0,0.001004696,,0.007991552,0.546724796,,,0.561999083
09648344984565f9477a,0,0,0,0.01720953,,0.390568256,0.726447821,,,1.134225607
096f3b651b268b7af4c8c32475fa23d1,0.003548145,0,0,0,,0.468486309,,0.046896935,0,0.518931389
097f97f4cb67c554f04dba6b5a09a506,0.001438141,0,0,0,,,,,,0.001438141
098f399d69f230521ef530baca832e76,0.011342525,0,0,0,,,,,,0.011342525
09b1f5403c63ceab5ae34710cbe2809e,0.010339737,0,0.000996828,0,,0.004220724,,0.002182722,0,0.017740011
09cae53bf67ea8a39700,0.024069548,0,0,0,,0.007987738,,0.002200603,0.001013994,0.035271883
09f5ab44486b1fc6df7bf20ce57159f1,0.011524916,0,0,0,,,,,,0.011524916
0a2ac74d800a2eff9540,0,0,0,0,,,,,,0
0a3d4fae965bdbec1f9d,0.024048805,0,0,0.003314257,,0.335093975,0.973570347,,,1.336027384
0a509faf231cff3cdec7,0,0,0,0,,0.069562674,,0.01615262,0.00096488,0.086680174
0aaa9e4659977a98fc9f36d6887fef37,0.062804937,0,0,0,,,,,,0.062804937
0acf77b2c022e2467cfb0d5493d454d6,0.001752138,0,0.00099802,0.00105381,,0.022166729,,0.010546684,0,0.036517382
0afa43225bdbe8e803cb,0.050207376,0,0,0,,,,,,0.050207376
0b42dbd687ae3b838728,0.012181759,0,0,0,,0.019182205,,0.002450466,0.001017094,0.034831524
0b677b13fca6cd0905ca,0.026593924,0,0,0,,0.009169817,0.36160183,,,0.39736557
0b7e91487dcf10c0b8e8711eb6d73bc5,0,0,0,0,,0.432944775,,0.031736851,0,0.464681625
0b92b9ca837a0f5474c732876220db78,0.032991171,0,0.006994724,0.003998041,,0.125317574,1.002468348,,,1.171769857
0b942dd86f01efe996b8977b158c37a6,0,0,0,0,,0.023552418,,0.015128851,0.001008034,0.039689302
0b9d8a742fe0efe0fe82,0.007708311,0,0.001000166,0.001004457,,0.000590563,0.568922043,,,0.57922554
0ba0270279a0f38280423754cea2ee1e,0,0,0,0.017468929,,0.36330533,,0.0161376,0,0.39691186
0bc7d313e7a84b708374,0.018538475,0,0,0,,,,,,0.018538475
0bdd7059a08cbcd00898,0.001814604,0,0,0.017572641,,0.394773245,0.819495678,,,1.233656168
0c01b7a27e512db480847fac2cc54103,0,0,0,0,,,,,,0
0c10e910e514832b7103,0.019658804,0.000961065,0,0,,0.001000881,,0.008526564,0,0.030147314
0c7ccae5d764ff61788fc626096e5688,0.001054287,0,0,0.000973225,,0.015883923,,0.004008293,0.001035452,0.022955179
0ca2272c015266e667924836364349c3,0.008317709,0,0,0,,0.016550779,,0.00407958,0,0.028948069
0cdd8d6adb8463961f50bd1845faddf8,0,0,0,0.004599571,,0.035138369,,0.020828485,0.001173258,0.061739683
0cfe89a89b892e47e8418e281dfe318d,0.012242317,0,0.000997066,0,,0.023173094,,0.011484385,0,0.047896862
0d1baad4e3a871587ab1,0,0,0,0,,,,,,0
0d25683d9c8fce27edd3,0.010104418,0,0,0.052252293,,1.158360004,,0.057827234,0.005121231,1.28366518
0d5a709bbb4186d1f45f2af14c65b110,0.004601479,0,0,0,,,,,,0.004601479
0d5b3e7cc89cb2180c6e,0.001723528,0,0,0,,,,,,0.001723528
0d9745f39a034758e51e,0.028686762,0,0,0.043751955,,1.361967325,1.481170893,,,2.915576935
0d9f91f789f0c523b0e7,0.00103879,0,0,0,,,,,,0.00103879
0db840f27f1f0fd0747f13ab80d0ca37,0.006776571,0,0,0.005697966,,0.023632288,,0.010684967,0.000993013,0.047784805
0db858e055cc2bae953b435f5116aaa8,0.007998943,0,0.000104666,0,,0.00751543,,0.00209403,0,0.01771307
0e7d366d2e3623c5bb95,0.002156734,0,0,0,,,,,,0.002156734
0ec0c3f5ca69bac2b625,0.028920412,0,0.001013041,0.000997543,,0.016652584,,0.020880222,0.000999212,0.069463015
0ee6dd444994fd67f63b,0.012081146,0,0,0,,0.002359629,,0.009270191,0.002086639,0.025797606
0efb4d07f28af1c8fc1b,0.016675711,0,0,0,,0.015831947,,0.003988028,0.006191254,0.042686939
0efb90d998c59d5926ca7f4e79054361,0.009316683,0,0,0,,,,,,0.009316683
0efcacfb43827ba3a6bac3356315c419,0.004882813,0,0.001007795,0,,0.007014751,,0.002235651,0.00095892,0.01609993
0f450e738bf79c003253,0.017040253,0,0,0,,,,,,0.017040253
0f575a0891cfef5f1b0024c89dcbaeea,0,0,0,0,,,,,,0
0f5f65ddbfa278713f58,0.008986712,0,0,0,,,,,,0.008986712
0f87efc363309e99d600e3a6300fbcff,0,0,0,0,,,,,,0
10005117,0.009135962,0,0,0,,,,,,0.009135962
10010307,0.000915051,0,0,0,,,,,,0.000915051
10011921,0.012325764,0,0.001652718,0,,0.0999825,0.878095388,,,0.99205637
10016605,0.018549204,0,0,0,,,,,,0.018549204
10023837,0.019055843,0,0.002285242,0,,,,,,0.021341085
1009475,0.00105691,0,0,0,,,,,,0.00105691
101323115e70bb6671d3,0.014121294,0,0.000960588,0,,0.001080751,,0.002016783,0.000951529,0.019130945
10206392,0,0,0,0,,,,,,0
1023456,0.044074774,0,0,0,,,,,,0.044074774
10235798,0.008794546,0,0,0.002795219,,0.025430202,,0.013969421,0.001010895,0.052000284
1025525,0.002031803,0,0,0,,0.025388956,,0.022560835,0,0.049981594
1025736,0.013911247,0,0.000970125,0,,0.008800983,,0.001945734,0.092241287,0.117869377
10281460,0.000934362,0,0,0,,,,,,0.000934362
1029336,0.002007008,0,0.001037359,0.000963449,,0.027957678,,0.014837503,0.001050472,0.04785347
10295174,0.014306307,0,0,0,,0.025479078,,0.002415657,0,0.042201042
1029870,0.032113552,0,0,0,,,,,,0.032113552
10335601,0.018058062,0.001012087,0,0,,,,,,0.019070148
1035190,0.003295422,0,0.001109123,0,,0.032319784,,0.023536682,0,0.060261011
10354951,0.000967503,0,0,0,,,,,,0.000967503
1035890,0,0,0,0,,0.006000996,,0.00300169,0.000994921,0.009997606
1036883,0.006257772,0,0,0,,,,,,0.006257772
1038987,0.001988173,0,0.001036644,0,,0.027923584,,0.020978928,0,0.051927328
1040366,0.008065701,0,0,0.010140657,,0.528660297,,0.063193083,0.001002789,0.611062527
1041172,0.022505283,0,0,0,,,,,,0.022505283
1042719,0.008841038,0,0.001012564,0.000700712,,0.036413908,,0.015655041,0,0.062623262
1042778,0.018052816,0,0.001194239,0,,0,,0,0,0.019247055
10438748,0.072661877,0,0.00100565,0,,0.015226126,,0.0049932,0,0.093886852
1044215,0.004233837,0,0.010423183,0,,0.036098719,,0.015467167,0.001509666,0.067732573
1045108,0.015284061,0,0.001003027,0,,0.005478859,,0.005038738,0.000997066,0.027801752
10491632,0,0,0,0,,0.007122993,,0.002011299,0.001020908,0.010155201
1052286,0.000546932,0,0,0.001000404,,0.017081261,,0.011103153,0,0.02973175
1054969,0.002686977,0,0,0,,,,,,0.002686977
1055161,0.009278774,0,0,0,,,,,,0.009278774
10554232,0.036959171,0,0,0,,,,,,0.036959171
1055992,0.001012802,0,0.001405001,0,,0.032488585,,0.014402866,0,0.049309254
10567484,0.003241539,0,0.001019716,0,,0.007991314,,0.002995253,0.001993179,0.017241001
10589494,0,0,0,0,,,,,,0
1059647,0.008752584,0,0,0,,,,,,0.008752584
1065196,0.006361008,0.000306129,0.001016855,0.000280142,,0.018703222,,0.01584053,0.019568205,0.062076092
1068021,0.000514984,0,0,0,,,,,,0.000514984
1068255,0.00234127,0,0.003060341,0,,0.034814596,,0.015201807,0,0.055418015
1068868,0.02210474,0,0,0,,0.027414083,,0.010087967,0.012626171,0.072232962
106c49a3ae6d420937aa,0.049925089,0,0,0,,,,,,0.049925089
1072977,0.027686119,0,0,0,,,,,,0.027686119
1074124,0.008781672,0,0,0,,0.00306344,,0.009390593,0.004699945,0.02593565
1074202,0.001193523,0,0,0,,,,,,0.001193523
1074227,0.008505344,0,0.001000881,0,,0.009385824,,0.001336098,0.000838995,0.021067142
1074551,0.006767511,0,0.001237154,0,,0,,0,0.001002312,0.009006977
1077318,0.009026527,0,0,0,,,,,,0.009026527
1077970,0.018598318,0,0,0,,0.011068344,,0.004018545,0.000999451,0.034684658
10792332,0,0,0,0,,,,,,0
1082570,0.002563715,0,0,0,,0.013857365,,0.001758337,0,0.018179417
1083908,0.019129753,0,0,0,,0.003512144,,0,0.000962496,0.023604393
1088273,0.011017323,0,0,0,,0.022405624,,0.005201817,0,0.038624763
1091026,0.00109601,0,0,0,,,,,,0.00109601
