Filename,Error Messages
pip_output_log.00135b0dfee0ae165ad2.txt,"ERROR: Could not find a version that satisfies the requirement PyQt4==4.11.4 (from versions: none)
ERROR: No matching distribution found for PyQt4==4.11.4"
pip_output_log.005ceac0483fc5a581cc.txt,"Preparing metadata (pyproject.toml): finished with status 'error'
error: subprocess-exited-with-error
error: Microsoft Visual C++ 14.0 or greater is required. Get it with ""Microsoft C++ Build Tools"": https://visualstudio.microsoft.com/visual-cpp-build-tools/
note: This error originates from a subprocess, and is likely not a problem with pip.
error: metadata-generation-failed
Encountered error while generating package metadata."
pip_output_log.00a17b1d374dfc267a9a.txt,"Getting requirements to build wheel: finished with status 'error'
error: subprocess-exited-with-error
AttributeError: module 'configparser' has no attribute 'SafeConfigParser'. Did you mean: 'RawConfigParser'?
note: This error originates from a subprocess, and is likely not a problem with pip.
error: subprocess-exited-with-error
note: This error originates from a subprocess, and is likely not a problem with pip."
pip_output_log.00e9638c0efad1adac878522cf172484.txt,"Preparing metadata (pyproject.toml): finished with status 'error'
error: subprocess-exited-with-error
error: Microsoft Visual C++ 14.0 or greater is required. Get it with ""Microsoft C++ Build Tools"": https://visualstudio.microsoft.com/visual-cpp-build-tools/
note: This error originates from a subprocess, and is likely not a problem with pip.
error: metadata-generation-failed
Encountered error while generating package metadata."
pip_output_log.0115e0ce312f26ff59f4fbf4f5821ca2.txt,"ERROR: Could not find a version that satisfies the requirement RPi==0.0.1 (from versions: none)
ERROR: No matching distribution found for RPi==0.0.1"
pip_output_log.01b8b8e1909ae0f601c85e142f2bd15b.txt,"Getting requirements to build wheel: finished with status 'error'
error: subprocess-exited-with-error
return codecs.charmap_decode(input,self.errors,decoding_table)[0]
UnicodeDecodeError: 'charmap' codec can't decode byte 0x8d in position 243: character maps to <undefined>
note: This error originates from a subprocess, and is likely not a problem with pip.
error: subprocess-exited-with-error
note: This error originates from a subprocess, and is likely not a problem with pip."
pip_output_log.026a4d6400b1efac9a13a3296f16e655.txt,"Preparing metadata (pyproject.toml): finished with status 'error'
error: subprocess-exited-with-error
AttributeError: 'dict' object has no attribute '__NUMPY_SETUP__'
note: This error originates from a subprocess, and is likely not a problem with pip.
error: metadata-generation-failed
Encountered error while generating package metadata."
pip_output_log.02ff378b3a91de94306a84d3aa2228bb.txt,"Getting requirements to build wheel: finished with status 'error'
error: subprocess-exited-with-error
RuntimeError:
note: This error originates from a subprocess, and is likely not a problem with pip.
error: subprocess-exited-with-error
note: This error originates from a subprocess, and is likely not a problem with pip."
pip_output_log.0306734dfe17076dfd34e09660c198c0.txt,"Getting requirements to build wheel: finished with status 'error'
error: subprocess-exited-with-error
AttributeError: module 'configparser' has no attribute 'SafeConfigParser'. Did you mean: 'RawConfigParser'?
note: This error originates from a subprocess, and is likely not a problem with pip.
error: subprocess-exited-with-error
note: This error originates from a subprocess, and is likely not a problem with pip."
pip_output_log.03d9c46c86691c9bb680.txt,"Getting requirements to build wheel: finished with status 'error'
error: subprocess-exited-with-error
Error: pg_config executable not found.
note: This error originates from a subprocess, and is likely not a problem with pip.
error: subprocess-exited-with-error
note: This error originates from a subprocess, and is likely not a problem with pip."
pip_output_log.03de5c4c21138da5c29d.txt,"Preparing metadata (pyproject.toml): finished with status 'error'
error: subprocess-exited-with-error
error: Microsoft Visual C++ 14.0 or greater is required. Get it with ""Microsoft C++ Build Tools"": https://visualstudio.microsoft.com/visual-cpp-build-tools/
note: This error originates from a subprocess, and is likely not a problem with pip.
error: metadata-generation-failed
Encountered error while generating package metadata."
pip_output_log.045c887b6ccdf0edf4648da0c40bcc12.txt,"ERROR: Could not find a version that satisfies the requirement torch==1.8.0 (from versions: 2.2.0, 2.2.1, 2.2.2, 2.3.0, 2.3.1)
ERROR: No matching distribution found for torch==1.8.0"
pip_output_log.04ef258fa29e4e685287a30cf60462d0.txt,"Getting requirements to build wheel: finished with status 'error'
error: subprocess-exited-with-error
ModuleNotFoundError: No module named 'numpy'
note: This error originates from a subprocess, and is likely not a problem with pip.
error: subprocess-exited-with-error
note: This error originates from a subprocess, and is likely not a problem with pip."
pip_output_log.04f3047ca8770f4a3a58.txt,"Getting requirements to build wheel: finished with status 'error'
error: subprocess-exited-with-error
SyntaxError: multiple exception types must be parenthesized
note: This error originates from a subprocess, and is likely not a problem with pip.
error: subprocess-exited-with-error
note: This error originates from a subprocess, and is likely not a problem with pip."
pip_output_log.051e881fc94fe4a49295.txt,ERROR: Could not install packages due to an OSError: [Errno 22] Invalid argument: 'C:\\Users\\ASUS\\AppData\\Local\\Temp\\pip-unpack-vm498pvn\\impacket-0.9.22.tar.gz'
pip_output_log.056626de3fbdc7cf7b59de1d9f6279d1.txt,"ERROR: Could not find a version that satisfies the requirement opencv_python==3.4.9.31 (from versions: 3.4.0.14, 3.4.10.37, 3.4.11.39, 3.4.11.41, 3.4.11.43, 3.4.11.45, 3.4.13.47, 3.4.15.55, 3.4.16.57, 3.4.16.59, 3.4.17.61, 3.4.17.63, 3.4.18.65, 4.3.0.38, 4.4.0.40, 4.4.0.42, 4.4.0.44, 4.4.0.46, 4.5.1.48, 4.5.3.56, 4.5.4.58, 4.5.4.60, 4.5.5.62, 4.5.5.64, 4.6.0.66, 4.7.0.68, 4.7.0.72, 4.8.0.74, 4.8.0.76, 4.8.1.78, 4.9.0.80, 4.10.0.82, 4.10.0.84)
ERROR: No matching distribution found for opencv_python==3.4.9.31"
pip_output_log.05ff99985269200cdc4854ddc04fa6e9.txt,"Preparing metadata (pyproject.toml): finished with status 'error'
error: subprocess-exited-with-error
error: Microsoft Visual C++ 14.0 or greater is required. Get it with ""Microsoft C++ Build Tools"": https://visualstudio.microsoft.com/visual-cpp-build-tools/
note: This error originates from a subprocess, and is likely not a problem with pip.
error: metadata-generation-failed
Encountered error while generating package metadata."
pip_output_log.06649145d7e6c4c147c02459fd2bc5af.txt,"Preparing metadata (pyproject.toml): finished with status 'error'
error: subprocess-exited-with-error
error: Microsoft Visual C++ 14.0 or greater is required. Get it with ""Microsoft C++ Build Tools"": https://visualstudio.microsoft.com/visual-cpp-build-tools/
note: This error originates from a subprocess, and is likely not a problem with pip.
error: metadata-generation-failed
Encountered error while generating package metadata."
pip_output_log.076424abd8b012371b516da32807ca14.txt,"Getting requirements to build wheel: finished with status 'error'
error: subprocess-exited-with-error
AttributeError: module 'configparser' has no attribute 'SafeConfigParser'. Did you mean: 'RawConfigParser'?
note: This error originates from a subprocess, and is likely not a problem with pip.
error: subprocess-exited-with-error
note: This error originates from a subprocess, and is likely not a problem with pip."
pip_output_log.076bbc6a0d5056d20ad45095b434b02d.txt,"Getting requirements to build wheel: finished with status 'error'
error: subprocess-exited-with-error
error in nomad setup command: use_2to3 is invalid.
note: This error originates from a subprocess, and is likely not a problem with pip.
error: subprocess-exited-with-error
note: This error originates from a subprocess, and is likely not a problem with pip."
pip_output_log.0932b2b5293839cd7d79fa6b513c8128.txt,"Preparing metadata (pyproject.toml): finished with status 'error'
error: subprocess-exited-with-error
error: Microsoft Visual C++ 14.0 or greater is required. Get it with ""Microsoft C++ Build Tools"": https://visualstudio.microsoft.com/visual-cpp-build-tools/
note: This error originates from a subprocess, and is likely not a problem with pip.
error: metadata-generation-failed
Encountered error while generating package metadata."
pip_output_log.09648344984565f9477a.txt,"Preparing metadata (pyproject.toml): finished with status 'error'
error: subprocess-exited-with-error
error: Microsoft Visual C++ 14.0 or greater is required. Get it with ""Microsoft C++ Build Tools"": https://visualstudio.microsoft.com/visual-cpp-build-tools/
note: This error originates from a subprocess, and is likely not a problem with pip.
error: metadata-generation-failed
Encountered error while generating package metadata."
